"","x"
"0",949.867661011396
"1e-04",949.867661011396
"2e-04",949.867661011396
"3e-04",949.867661011396
"4e-04",949.867661011396
"5e-04",949.867661011396
"6e-04",949.867661011396
"7e-04",949.867661011396
"8e-04",949.867661011396
"9e-04",949.867661011396
"0.001",949.867661011396
"0.0011",949.867661011396
"0.0012",949.867661011396
"0.0013",949.867661011396
"0.0014",949.867661011396
"0.0015",949.867661011396
"0.0016",949.867661011396
"0.0017",949.867661011396
"0.0018",949.867661011396
"0.0019",949.867661011396
"0.002",949.867661011396
"0.0021",949.867661011396
"0.0022",949.867661011396
"0.0023",949.867661011396
"0.0024",949.867661011396
"0.0025",949.867661011396
"0.0026",949.867661011396
"0.0027",949.867661011396
"0.0028",949.867661011396
"0.0029",949.867661011396
"0.003",949.867661011396
"0.0031",949.867661011396
"0.0032",949.867661011396
"0.0033",949.867661011396
"0.0034",949.867661011396
"0.0035",949.867661011396
"0.0036",949.867661011396
"0.0037",949.867661011396
"0.0038",949.867661011396
"0.0039",949.867661011396
"0.004",949.867661011396
"0.0041",949.867661011396
"0.0042",949.867661011396
"0.0043",949.867661011396
"0.0044",949.867661011396
"0.0045",949.867661011396
"0.0046",949.867661011396
"0.0047",949.867661011396
"0.0048",949.867661011396
"0.0049",949.867661011396
"0.005",949.867661011396
"0.0051",949.867661011396
"0.0052",949.867661011396
"0.0053",949.867661011396
"0.0054",949.867661011396
"0.0055",949.867661011396
"0.0056",949.867661011396
"0.0057",949.867661011396
"0.0058",949.867661011396
"0.0059",949.867661011396
"0.006",949.867661011396
"0.0061",949.867661011396
"0.0062",949.867661011396
"0.0063",949.867661011396
"0.0064",949.867661011396
"0.0065",949.867661011396
"0.0066",949.867661011396
"0.0067",949.867661011396
"0.0068",949.867661011396
"0.0069",949.867661011396
"0.007",949.867661011396
"0.0071",949.867661011396
"0.0072",949.867661011396
"0.0073",949.867661011396
"0.0074",949.867661011396
"0.0075",949.867661011396
"0.0076",949.867661011396
"0.0077",949.867661011396
"0.0078",949.867661011396
"0.0079",949.867661011396
"0.008",949.867661011396
"0.0081",949.867661011396
"0.0082",949.867661011396
"0.0083",949.867661011396
"0.0084",949.867661011396
"0.0085",949.867661011396
"0.0086",949.867661011396
"0.0087",949.867661011396
"0.0088",949.867661011396
"0.0089",949.867661011396
"0.009",949.867661011396
"0.0091",949.867661011396
"0.0092",949.867661011396
"0.0093",949.867661011396
"0.0094",949.867661011396
"0.0095",949.867661011396
"0.0096",949.867661011396
"0.0097",949.867661011396
"0.0098",949.867661011396
"0.0099",949.867661011396
"0.01",949.867661011396
"0.0101",949.867661011396
"0.0102",949.867661011396
"0.0103",949.867661011396
"0.0104",949.867661011396
"0.0105",949.867661011396
"0.0106",949.867661011396
"0.0107",949.867661011396
"0.0108",949.867661011396
"0.0109",949.867661011396
"0.011",949.867661011396
"0.0111",949.867661011396
"0.0112",949.867661011396
"0.0113",949.867661011396
"0.0114",949.867661011396
"0.0115",949.867661011396
"0.0116",949.867661011396
"0.0117",949.867661011396
"0.0118",949.867661011396
"0.0119",949.867661011396
"0.012",949.867661011396
"0.0121",949.867661011396
"0.0122",949.867661011396
"0.0123",949.867661011396
"0.0124",949.867661011396
"0.0125",949.867661011396
"0.0126",949.867661011396
"0.0127",949.867661011396
"0.0128",949.867661011396
"0.0129",949.867661011396
"0.013",949.867661011396
"0.0131",949.867661011396
"0.0132",949.867661011396
"0.0133",949.867661011396
"0.0134",949.867661011396
"0.0135",949.867661011396
"0.0136",949.867661011396
"0.0137",949.867661011396
"0.0138",949.867661011396
"0.0139",949.867661011396
"0.014",949.867661011396
"0.0141",949.867661011396
"0.0142",949.867661011396
"0.0143",949.867661011396
"0.0144",949.867661011396
"0.0145",949.867661011396
"0.0146",949.867661011396
"0.0147",949.867661011396
"0.0148",949.867661011396
"0.0149",949.867661011396
"0.015",949.867661011396
"0.0151",949.867661011396
"0.0152",949.867661011396
"0.0153",949.867661011396
"0.0154",949.867661011396
"0.0155",949.867661011396
"0.0156",949.867661011396
"0.0157",949.867661011396
"0.0158",949.867661011396
"0.0159",949.867661011396
"0.016",949.867661011396
"0.0161",949.867661011396
"0.0162",949.867661011396
"0.0163",949.867661011396
"0.0164",949.867661011396
"0.0165",949.867661011396
"0.0166",949.867661011396
"0.0167",949.867661011396
"0.0168",949.867661011396
"0.0169",949.867661011396
"0.017",949.867661011396
"0.0171",949.867661011396
"0.0172",949.867661011396
"0.0173",949.867661011396
"0.0174",949.867661011396
"0.0175",949.867661011396
"0.0176",949.867661011396
"0.0177",949.867661011396
"0.0178",949.867661011396
"0.0179",949.867661011396
"0.018",949.867661011396
"0.0181",949.867661011396
"0.0182",949.867661011396
"0.0183",949.867661011396
"0.0184",949.867661011396
"0.0185",949.867661011396
"0.0186",949.867661011396
"0.0187",949.867661011396
"0.0188",949.867661011396
"0.0189",949.867661011396
"0.019",949.867661011396
"0.0191",949.867661011396
"0.0192",949.867661011396
"0.0193",949.867661011396
"0.0194",949.867661011396
"0.0195",949.867661011396
"0.0196",949.867661011396
"0.0197",949.867661011396
"0.0198",949.867661011396
"0.0199",949.867661011396
"0.02",949.867661011396
"0.0201",949.867661011396
"0.0202",949.867661011396
"0.0203",949.867661011396
"0.0204",949.867661011396
"0.0205",949.867661011396
"0.0206",949.867661011396
"0.0207",949.867661011396
"0.0208",949.867661011396
"0.0209",949.867661011396
"0.021",949.867661011396
"0.0211",949.867661011396
"0.0212",949.867661011396
"0.0213",949.867661011396
"0.0214",949.867661011396
"0.0215",949.867661011396
