"","x"
"0",159.471412192137
"1e-04",159.471412192137
"2e-04",159.471412192137
"3e-04",159.471412192137
"4e-04",159.471412192137
"5e-04",159.471412192137
"6e-04",159.471412192137
"7e-04",159.471412192137
"8e-04",159.471412192137
"9e-04",159.471412192137
"0.001",159.471412192137
"0.0011",159.471412192137
"0.0012",159.471412192137
"0.0013",159.471412192137
"0.0014",159.471412192137
"0.0015",159.471412192137
"0.0016",159.471412192137
"0.0017",159.471412192137
"0.0018",159.471412192137
"0.0019",159.471412192137
"0.002",159.471412192137
"0.0021",159.471412192137
"0.0022",159.471412192137
"0.0023",159.471412192137
"0.0024",159.471412192137
"0.0025",159.471412192137
"0.0026",159.471412192137
"0.0027",159.471412192137
"0.0028",159.471412192137
"0.0029",159.471412192137
"0.003",159.471412192137
"0.0031",159.471412192137
"0.0032",159.471412192137
"0.0033",159.471412192137
"0.0034",159.471412192137
"0.0035",159.471412192137
"0.0036",159.471412192137
"0.0037",159.471412192137
"0.0038",159.471412192137
"0.0039",159.471412192137
"0.004",159.471412192137
"0.0041",159.471412192137
"0.0042",159.471412192137
"0.0043",159.471412192137
"0.0044",159.471412192137
"0.0045",159.471412192137
"0.0046",159.471412192137
"0.0047",159.471412192137
"0.0048",159.471412192137
"0.0049",159.471412192137
"0.005",159.471412192137
"0.0051",159.471412192137
"0.0052",159.471412192137
"0.0053",159.471412192137
"0.0054",159.471412192137
"0.0055",159.471412192137
"0.0056",159.471412192137
"0.0057",159.471412192137
"0.0058",159.471412192137
"0.0059",159.471412192137
"0.006",159.471412192137
"0.0061",159.471412192137
"0.0062",159.471412192137
"0.0063",159.471412192137
"0.0064",159.471412192137
"0.0065",159.471412192137
"0.0066",159.471412192137
"0.0067",159.471412192137
"0.0068",159.471412192137
"0.0069",159.471412192137
"0.007",159.471412192137
"0.0071",159.471412192137
"0.0072",159.471412192137
"0.0073",159.471412192137
"0.0074",159.471412192137
"0.0075",159.471412192137
"0.0076",159.471412192137
"0.0077",159.471412192137
"0.0078",159.471412192137
"0.0079",159.471412192137
"0.008",159.471412192137
"0.0081",159.471412192137
"0.0082",159.471412192137
"0.0083",159.471412192137
"0.0084",159.471412192137
"0.0085",159.471412192137
"0.0086",159.471412192137
"0.0087",159.471412192137
"0.0088",159.471412192137
"0.0089",159.471412192137
"0.009",159.471412192137
"0.0091",159.471412192137
"0.0092",159.471412192137
"0.0093",159.471412192137
"0.0094",159.471412192137
"0.0095",159.471412192137
"0.0096",159.471412192137
"0.0097",159.471412192137
"0.0098",159.471412192137
"0.0099",159.471412192137
"0.01",159.471412192137
"0.0101",159.471412192137
"0.0102",159.471412192137
"0.0103",159.471412192137
"0.0104",159.471412192137
"0.0105",159.471412192137
"0.0106",159.471412192137
"0.0107",159.471412192137
"0.0108",159.471412192137
"0.0109",159.471412192137
"0.011",159.471412192137
"0.0111",159.471412192137
"0.0112",159.471412192137
"0.0113",159.471412192137
"0.0114",159.471412192137
"0.0115",159.471412192137
"0.0116",159.471412192137
"0.0117",159.471412192137
"0.0118",159.471412192137
"0.0119",159.471412192137
"0.012",159.471412192137
"0.0121",159.471412192137
"0.0122",159.471412192137
"0.0123",159.471412192137
"0.0124",159.471412192137
"0.0125",159.471412192137
"0.0126",159.471412192137
"0.0127",159.471412192137
"0.0128",159.471412192137
"0.0129",159.471412192137
"0.013",159.471412192137
"0.0131",159.471412192137
"0.0132",159.471412192137
"0.0133",159.471412192137
"0.0134",159.471412192137
"0.0135",159.471412192137
"0.0136",159.471412192137
"0.0137",159.471412192137
"0.0138",159.471412192137
"0.0139",159.471412192137
"0.014",159.471412192137
"0.0141",159.471412192137
"0.0142",159.471412192137
"0.0143",159.471412192137
"0.0144",159.471412192137
"0.0145",159.471412192137
"0.0146",159.471412192137
"0.0147",159.471412192137
"0.0148",159.471412192137
"0.0149",159.471412192137
"0.015",159.471412192137
"0.0151",159.471412192137
"0.0152",159.471412192137
"0.0153",159.471412192137
"0.0154",159.471412192137
"0.0155",159.471412192137
"0.0156",159.471412192137
"0.0157",159.471412192137
"0.0158",159.471412192137
"0.0159",159.471412192137
"0.016",159.471412192137
"0.0161",159.471412192137
"0.0162",159.471412192137
"0.0163",159.471412192137
"0.0164",159.471412192137
"0.0165",159.471412192137
"0.0166",159.471412192137
"0.0167",159.471412192137
"0.0168",159.471412192137
"0.0169",159.471412192137
"0.017",159.471412192137
"0.0171",159.471412192137
"0.0172",159.471412192137
"0.0173",159.471412192137
"0.0174",159.471412192137
"0.0175",159.471412192137
"0.0176",159.471412192137
"0.0177",159.471412192137
"0.0178",159.471412192137
"0.0179",159.471412192137
"0.018",159.471412192137
"0.0181",159.471412192137
"0.0182",159.471412192137
"0.0183",159.471412192137
"0.0184",159.471412192137
"0.0185",159.471412192137
"0.0186",159.471412192137
"0.0187",159.471412192137
"0.0188",159.471412192137
"0.0189",159.471412192137
"0.019",159.471412192137
"0.0191",159.471412192137
"0.0192",159.471412192137
"0.0193",159.471412192137
"0.0194",159.471412192137
"0.0195",159.471412192137
"0.0196",159.471412192137
"0.0197",159.471412192137
"0.0198",159.471412192137
"0.0199",159.471412192137
"0.02",159.471412192137
"0.0201",159.471412192137
"0.0202",159.471412192137
"0.0203",159.471412192137
"0.0204",159.471412192137
